split,scenario,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds
test,clustered_bits,clustered_bits.bin,fixed_zero_trim,256,32768,6196,0.1890869140625,0.007006700034253299,0.0011549999471753836
test,clustered_bits,clustered_bits.bin,fixed_one_gaps,256,32768,8926,0.27239990234375,0.09071869996841997,0.013324899948202074
test,clustered_bits,clustered_bits.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.49659970006905496,2.820009831339121e-05
test,dense_bits_99,dense_bits_99.bin,oracle,256,32768,3922,0.11968994140625,0.29736660001799464,0.00695910002104938
test,dense_bits_99,dense_bits_99.bin,deterministic,256,32768,3922,0.11968994140625,0.12195609998889267,0.005638299975544214
test,dense_bits_99,dense_bits_99.bin,fixed_raw,256,32768,32777,1.000274658203125,0.001117600011639297,1.1200085282325745e-05
test,dense_bits_99,dense_bits_99.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0007073999149724841,8.400063961744308e-06
test,dense_bits_99,dense_bits_99.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0015270999865606427,9.900075383484364e-06
test,dense_bits_99,dense_bits_99.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.43739949993323535,1.4099990949034691e-05
test,dense_bits_99,dense_bits_99.bin,fixed_zero_gaps,256,32768,3922,0.11968994140625,0.06875920004677027,0.0038229000056162477
test,random,random.bin,oracle,256,32768,32777,1.000274658203125,0.2558042999589816,1.4199991710484028e-05
test,random,random.bin,deterministic,256,32768,32777,1.000274658203125,0.040220299968495965,1.1999974958598614e-05
test,random,random.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0007105999393388629,6.900052540004253e-06
test,random,random.bin,fixed_zero,256,32768,32777,1.000274658203125,0.00040390004869550467,7.79994297772646e-06
test,random,random.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0010991999879479408,8.999952115118504e-06
test,random,random.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.2852712000021711,1.6200006939470768e-05
test,random,random.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.279509500018321,1.4299992471933365e-05
test,sparse_bits_001,sparse_bits_001.bin,oracle,256,32768,1078,0.03289794921875,0.27938990003895015,0.001641899929381907
test,sparse_bits_001,sparse_bits_001.bin,deterministic,256,32768,1128,0.034423828125,0.07897969998884946,0.001587199978530407
test,sparse_bits_001,sparse_bits_001.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0012605000520125031,1.0499963536858559e-05
test,sparse_bits_001,sparse_bits_001.bin,fixed_zero,256,32768,29052,0.8865966796875,0.0008367000846192241,0.00048319995403289795
test,sparse_bits_001,sparse_bits_001.bin,fixed_zero_trim,256,32768,8367,0.255340576171875,0.007445199997164309,0.0011319000041112304
test,sparse_bits_001,sparse_bits_001.bin,fixed_one_gaps,256,32768,1095,0.033416748046875,0.07054610003251582,0.002635400043800473
test,sparse_bits_001,sparse_bits_001.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.4855637999717146,3.300001844763756e-05
test,sparse_bits_01,sparse_bits_01.bin,oracle,256,32768,3948,0.1204833984375,0.28697110002394766,0.005971099948510528
test,sparse_bits_01,sparse_bits_01.bin,deterministic,256,32768,3948,0.1204833984375,0.11410190002061427,0.004148200037889183
test,sparse_bits_01,sparse_bits_01.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0011537999380379915,9.800074622035027e-06
test,sparse_bits_01,sparse_bits_01.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0006614000303670764,7.2999391704797745e-06
test,sparse_bits_01,sparse_bits_01.bin,fixed_zero_trim,256,32768,30557,0.932525634765625,0.0027271000435575843,0.0009975000284612179
test,sparse_bits_01,sparse_bits_01.bin,fixed_one_gaps,256,32768,3948,0.1204833984375,0.07988560001831502,0.004781599971465766
test,sparse_bits_01,sparse_bits_01.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.47540740005206317,1.3599987141788006e-05
test,zero_blocks_75,zero_blocks_75.bin,oracle,256,32768,10548,0.3218994140625,0.2734092000173405,0.0008237999863922596
test,zero_blocks_75,zero_blocks_75.bin,deterministic,256,32768,10548,0.3218994140625,0.038398099946789443,0.0007130999583750963
test,zero_blocks_75,zero_blocks_75.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0013651000335812569,9.399955160915852e-06
test,zero_blocks_75,zero_blocks_75.bin,fixed_zero,256,32768,10548,0.3218994140625,0.0016015999717637897,0.0006972999544814229
test,zero_blocks_75,zero_blocks_75.bin,fixed_zero_trim,256,32768,10815,0.330047607421875,0.007004399900324643,0.0011080000549554825
test,zero_blocks_75,zero_blocks_75.bin,fixed_one_gaps,256,32768,10637,0.324615478515625,0.13279860001057386,0.0015710999723523855
test,zero_blocks_75,zero_blocks_75.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.4413076000055298,3.559992182999849e-05
